"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","pro_2016","SPS2017","pro_2017","SPS2018","pro_2018","SPS2019","pro_2019"
"43","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7813,"Ostala prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske politike",2341601,2944971,25.77,3323575,12.86,NA,NA,NA,NA
"44","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7814,"Prejeta sredstva iz proraèuna EU za izvajanje skupne ribiške politike",2678801,3500000,30.66,4500000,28.57,NA,NA,NA,NA
"45","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",782,"Prejeta sredstva iz proraèuna EU iz strukturnih skladov",7821,"Prejeta sredstva iz proraèuna EU iz Evropskega sklada za regionalni razvoj (ERDF)",3.5e+08,202100000,-42.26,207800000,2.82,NA,NA,NA,NA
"46","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",782,"Prejeta sredstva iz proraèuna EU iz strukturnih skladov",7822,"Prejeta sredstva iz Evropskega socialnega sklada (ESF)",1e+08,136800000,36.8,121300000,-11.33,NA,NA,NA,NA
"47","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",783,"Prejeta sredstva iz proraèuna EU iz kohezijskega sklada",7830,"Prejeta sredstva iz Kohezijskega sklada (CF)",421600000,212300000,-49.64,182200000,-14.18,NA,NA,NA,NA
"48","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",784,"Prejeta sredstva iz proraèuna EU za izvajanje centraliziranih in drugih programov EU",7841,"Druga prejeta sredstva iz proraèuna EU za izvajanje notranjih politik EU 2004 - 2006",13738800,NA,NA,NA,NA,NA,NA,NA,NA
"49","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",786,"Ostala prejeta sredstva iz proraèuna Evropske unije",7860,"Ostala prejeta sredstva iz proraèuna EU",3350000,8400000,150.75,NA,NA,NA,NA,NA,NA
"50","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",787,"Prejeta sredstva od drugih evropskih institucij",7870,"Prejeta sredstva od drugih evropskih institucij",1600000,12600000,687.5,5900000,-53.17,NA,NA,NA,NA
"51","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4000,"Plaèe in dodatki",769499359.4,840207241.7,9.19000000000001,858634619,2.19,900964390.7,4.92999999999999,944374608,4.82
"52","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4001,"Regres za letni dopust",18347925.24,14549501.9,-20.7,14609193.04,0.409999999999999,25757536.89,76.31,28541018.76,10.81
"53","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4002,"Povraèila in nadomestila",70575807.07,71833587.85,1.78,71880624.85,0.0699999999999923,70558781.07,-1.84,71824980.12,1.79
"54","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4003,"Sredstva za delovno uspešnost",2972739.34,2535158.87,-14.72,2321416.22,-8.43,3405433.88,46.7,3910914.35,14.84
"55","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4004,"Sredstva za nadurno delo",5019755.53,4915596.82,-2.07000000000001,4825028.9,-1.84,7692417.88,59.43,7609584.04,-1.08
"56","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4005,"Plaèe za delo nerezidentov po pogodbi",2064.02,709,-65.65,2809,296.19,878,-68.74,804,-8.43
"57","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",400,"Plaèe in drugi izdatki zaposlenim",4009,"Drugi izdatki zaposlenim",6202499.31,6590718.75,6.26,6879639.09,4.38000000000001,6976259.16,1.4,7633537.4,9.42000000000001
