"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","SPS2017","SPS2018","SPS2019"
"29","A","Bilanca prihodkov in odhodkov",72,"KAPITALSKI PRIHODKI",720,"Prihodki od prodaje osnovnih sredstev",7200,"Prihodki od prodaje zgradb in prostorov",2450296,18560367,4302086,4312086,12192056
"30","A","Bilanca prihodkov in odhodkov",72,"KAPITALSKI PRIHODKI",720,"Prihodki od prodaje osnovnih sredstev",7201,"Prihodki od prodaje prevoznih sredstev",395789,173990,173990,1636207,1043736
"31","A","Bilanca prihodkov in odhodkov",72,"KAPITALSKI PRIHODKI",720,"Prihodki od prodaje osnovnih sredstev",7202,"Prihodki od prodaje opreme",118735,312673,312673,97364,169363
"32","A","Bilanca prihodkov in odhodkov",72,"KAPITALSKI PRIHODKI",720,"Prihodki od prodaje osnovnih sredstev",7203,"Prihodki od prodaje drugih osnovnih sredstev",35180,186558,186558,519242,982539
"33","A","Bilanca prihodkov in odhodkov",72,"KAPITALSKI PRIHODKI",722,"Prihodki od prodaje zemljišè in neopredmetenih sredstev",7220,"Prihodki od prodaje kmetijskih zemljišè in gozdov",1081094.27,168591.14,170951.42,239932.56,226232.31
"34","A","Bilanca prihodkov in odhodkov",72,"KAPITALSKI PRIHODKI",722,"Prihodki od prodaje zemljišè in neopredmetenih sredstev",7221,"Prihodki od prodaje stavbnih zemljišè",918905.37,197442.5,200206.69,382117.92,804624.47
"35","A","Bilanca prihodkov in odhodkov",72,"KAPITALSKI PRIHODKI",722,"Prihodki od prodaje zemljišè in neopredmetenih sredstev",7222,"Prihodki od prodaje premoženjskih pravic in drugih neopredmetenih sredstev",4e+07,25133966,24128842,19377950,21768459.22
"36","A","Bilanca prihodkov in odhodkov",73,"PREJETE DONACIJE",730,"Prejete donacije iz domaèih virov",7300,"Prejete donacije in darila od domaèih pravnih oseb",7200000,2e+05,2e+05,15000,29054
"37","A","Bilanca prihodkov in odhodkov",73,"PREJETE DONACIJE",731,"Prejete donacije iz tujine",7310,"Prejete donacije in darila od tujih nevladnih organizacij in fundacij",7300000,2921775,2311728,2692613,2655608
"38","A","Bilanca prihodkov in odhodkov",74,"TRANSFERNI PRIHODKI",740,"Transferni prihodki iz drugih javnofinanènih institucij",7400,"Prejeta sredstva iz državnega proraèuna",1152010,785682,785682,799451,769374
"39","A","Bilanca prihodkov in odhodkov",74,"TRANSFERNI PRIHODKI",740,"Transferni prihodki iz drugih javnofinanènih institucij",7402,"Prejeta sredstva iz skladov socialnega zavarovanja",24796,29450,29450,34031,34791
"40","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7810,"Prejeta sredstva iz proraèuna EU iz naslova tržnih ukrepov v kmetijstvu iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund) in Evropskega kmetijskega jamstvenega sklada (EKJS)",5245500,6245500,5615500,NA,NA
"41","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7811,"Prejeta sredstva iz proraèuna EU iz naslova neposrednih plaèil v kmetijstvu iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund) in Evropskega kmetijskega jamstvenega sklada (EKJS)",1.38e+08,137987000,136997000,NA,NA
"42","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7812,"Prejeta sredstva iz proraèuna EU iz naslova programa razvoja podeželja iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund) in Evropskega kmetijskega sklada za razvoj podeželja (EKSRP)",121773213,161909185,111270134,NA,NA
"43","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7813,"Ostala prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske politike",2341601,2944971,3323575,NA,NA
"44","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7814,"Prejeta sredstva iz proraèuna EU za izvajanje skupne ribiške politike",2678801,3500000,4500000,NA,NA
"45","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",782,"Prejeta sredstva iz proraèuna EU iz strukturnih skladov",7821,"Prejeta sredstva iz proraèuna EU iz Evropskega sklada za regionalni razvoj (ERDF)",3.5e+08,202100000,207800000,NA,NA
"46","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",782,"Prejeta sredstva iz proraèuna EU iz strukturnih skladov",7822,"Prejeta sredstva iz Evropskega socialnega sklada (ESF)",1e+08,136800000,121300000,NA,NA
"47","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",783,"Prejeta sredstva iz proraèuna EU iz kohezijskega sklada",7830,"Prejeta sredstva iz Kohezijskega sklada (CF)",421600000,212300000,182200000,NA,NA
"48","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",784,"Prejeta sredstva iz proraèuna EU za izvajanje centraliziranih in drugih programov EU",7841,"Druga prejeta sredstva iz proraèuna EU za izvajanje notranjih politik EU 2004 - 2006",13738800,NA,NA,NA,NA
"49","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",786,"Ostala prejeta sredstva iz proraèuna Evropske unije",7860,"Ostala prejeta sredstva iz proraèuna EU",3350000,8400000,NA,NA,NA
"50","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",787,"Prejeta sredstva od drugih evropskih institucij",7870,"Prejeta sredstva od drugih evropskih institucij",1600000,12600000,5900000,NA,NA
"51","B","Raèun finanènih terjatev in naložb",75,"PREJETA VRAÈILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV",750,"Prejeta vraèila danih posojil",7500,"Prejeta vraèila danih posojil od posameznikov in zasebnikov",6725,NA,NA,NA,NA
"52","B","Raèun finanènih terjatev in naložb",75,"PREJETA VRAÈILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV",750,"Prejeta vraèila danih posojil",7504,"Prejeta vraèila danih posojil od privatnih podjetij",2495115,NA,NA,NA,NA
"53","B","Raèun finanènih terjatev in naložb",75,"PREJETA VRAÈILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV",750,"Prejeta vraèila danih posojil",7509,"Prejeta vraèila plaèanih poroštev",650000,369006344.7,5e+05,NA,NA
"54","B","Raèun finanènih terjatev in naložb",75,"PREJETA VRAÈILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV",752,"Kupnine iz naslova privatizacije",7520,"Sredstva kupnin iz naslova privatizacije",1100000,1900000,1900000,1900000,1900000
"55","A","Bilanca prihodkov in odhodkov",73,"PREJETE DONACIJE",730,"Prejete donacije iz domaèih virov",7301,"Prejete donacije in darila od domaèih fiziènih oseb",NA,3145488,3145488,3610978,4221570
"56","A","Bilanca prihodkov in odhodkov",73,"PREJETE DONACIJE",731,"Prejete donacije iz tujine",7311,"Prejete donacije in darila od tujih vlad in vladnih institucij",NA,711544,711544,1302889,918291
"57","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",784,"Prejeta sredstva iz proraèuna EU za izvajanje centraliziranih in drugih programov EU",7842,"Prejeta sredstva iz proraèuna EU iz naslova Konkurenènost za rast in zaposlovanje",NA,21224425,51344767,NA,NA
"58","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",784,"Prejeta sredstva iz proraèuna EU za izvajanje centraliziranih in drugih programov EU",7843,"Prejeta sredstva iz proraèuna EU iz naslova Državljanstvo, svoboda, varnost in pravica",NA,94675575,15655233,NA,NA
"59","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",706,"Drugi davki in prispevki",7060,"Drugi davki in prispevki",NA,NA,NA,0,3504078
"60","A","Bilanca prihodkov in odhodkov",72,"KAPITALSKI PRIHODKI",721,"Prihodki od prodaje zalog",7211,"Prihodki od prodaje drugih zalog",NA,NA,NA,0,5939
"61","A","Bilanca prihodkov in odhodkov",73,"PREJETE DONACIJE",731,"Prejete donacije iz tujine",7312,"Prejete donacije in darila od tujih pravnih oseb",NA,NA,NA,2707,2707
"62","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7810,"Prejeta sredstva iz proraèuna EU iz naslova tržnih ukrepov v kmetijstvu iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund) in Evropskega kmetijskega jamstvenega sklada (EKJS)",NA,NA,NA,6245000,6245000
"63","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7811,"Prejeta sredstva iz proraèuna EU iz naslova neposrednih plaèil v kmetijstvu iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund) in Evropskega kmetijskega jamstvenega sklada (EKJS)",NA,NA,NA,136003000,135141000
"64","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7812,"Prejeta sredstva iz proraèuna EU iz naslova programa razvoja podeželja iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund) in Evropskega kmetijskega sklada za razvoj podeželja (EKSRP)",NA,NA,NA,135676844,121076920
"65","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7813,"Ostala prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske politike",NA,NA,NA,1777683,2500445
"66","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",781,"Prejeta sredstva iz proraèuna EU za izvajanje skupne kmetijske in ribiške politike",7814,"Prejeta sredstva iz proraèuna EU za izvajanje skupne ribiške politike",NA,NA,NA,3e+06,5100000
"67","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",782,"Prejeta sredstva iz proraèuna EU iz strukturnih skladov",7821,"Prejeta sredstva iz proraèuna EU iz Evropskega sklada za regionalni razvoj (ERDF)",NA,NA,NA,378932255.5,221405848
"68","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",782,"Prejeta sredstva iz proraèuna EU iz strukturnih skladov",7822,"Prejeta sredstva iz Evropskega socialnega sklada (ESF)",NA,NA,NA,169404125.9,144888392
"69","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",782,"Prejeta sredstva iz proraèuna EU iz strukturnih skladov",7824,"Prejeta sredstva iz proraèuna EU iz naslova Pobude za zaposlovanje mladih (YEI)",NA,NA,NA,0,NA
"70","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",782,"Prejeta sredstva iz proraèuna EU iz strukturnih skladov",7825,"Prejeta sredstva iz proraèuna EU iz naslova Sklada za evropsko pomoè najbolj ogroženim",NA,NA,NA,3171860,3116816
"71","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",783,"Prejeta sredstva iz proraèuna EU iz kohezijskega sklada",7830,"Prejeta sredstva iz Kohezijskega sklada (CF)",NA,NA,NA,282902419.8,189541767
"72","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",784,"Prejeta sredstva iz proraèuna EU za izvajanje centraliziranih in drugih programov EU",7842,"Prejeta sredstva iz proraèuna EU iz naslova Konkurenènost za rast in zaposlovanje",NA,NA,NA,41675950.66,38291037
"73","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",784,"Prejeta sredstva iz proraèuna EU za izvajanje centraliziranih in drugih programov EU",7843,"Prejeta sredstva iz proraèuna EU iz naslova Državljanstvo, svoboda, varnost in pravica",NA,NA,NA,10330692.9,27249578
"74","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",786,"Ostala prejeta sredstva iz proraèuna Evropske unije",7860,"Ostala prejeta sredstva iz proraèuna EU",NA,NA,NA,0,NA
"75","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",787,"Prejeta sredstva od drugih evropskih institucij in iz drugih držav",7870,"Prejeta sredstva od drugih evropskih institucij in iz drugih držav",NA,NA,NA,5458583,1191700
"76","A","Bilanca prihodkov in odhodkov",78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE IN IZ DRUGIH DRŽAV",788,"Prejeta vraèila sredstev iz proraèuna Evropske unije",7880,"Prejeta vraèila sredstev iz proraèuna Evropske unije",NA,NA,NA,0,NA
