"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","SPS2017","SPS2018","SPS2019"
"51","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4200,"Nakup zgradb in prostorov",6046306.01,16708240.16,2984613.16,4899532.32,1577143.24
"52","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4201,"Nakup prevoznih sredstev",7198610.89,16353342.73,10039329,11285330,30901919.45
"53","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4202,"Nakup opreme",37881476,52429744.16,42328462.54,54654364.33,44399290
"54","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4203,"Nakup drugih osnovnih sredstev",67039.96,299541.17,123991,120273,126493.17
"55","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4204,"Novogradnje, rekonstrukcije in adaptacije",419835642.1,155485980,211903016.2,263699665,241838815.4
"56","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4205,"Investicijsko vzdrževanje in obnove",35844484.47,68405099.28,89932167.36,106179017.3,79682129.16
"57","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4206,"Nakup zemljišè in naravnih bogastev",18670921.64,22084652.23,25114235.08,22452032.12,27278913.75
"58","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4207,"Nakup nematerialnega premoženja",22367241,25387967.18,23847963.12,30474642.21,30477578.94
"59","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4208,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",49688474.9,60682067.72,72382260.77,73064782.71,87985642.91
"60","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",431,"Investicijski transferi pravnim in fiziènim osebam, ki niso proraèunski uporabniki",4310,"Investicijski transferi nepridobitnim organizacijam in ustanovam",24870908.56,71064295.82,119356058.6,4800481.59,11895335.47
"61","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",431,"Investicijski transferi pravnim in fiziènim osebam, ki niso proraèunski uporabniki",4311,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali obèin",13245000,28508770.07,27545696.14,12405126,21083412
"62","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",431,"Investicijski transferi pravnim in fiziènim osebam, ki niso proraèunski uporabniki",4313,"Investicijski transferi privatnim podjetjem",84498876.52,54246964.91,24876921.32,45113149.01,42561658
"63","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",431,"Investicijski transferi pravnim in fiziènim osebam, ki niso proraèunski uporabniki",4314,"Investicijski transferi posameznikom in zasebnikom",71851083.22,36268430,57965328,14675032.62,8699330
"64","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",431,"Investicijski transferi pravnim in fiziènim osebam, ki niso proraèunski uporabniki",4315,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proraèunski uporabniki",637811.54,762963.46,691665,2326911.16,1042100
"65","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",431,"Investicijski transferi pravnim in fiziènim osebam, ki niso proraèunski uporabniki",4316,"Investicijski transferi v tujino",615000,5000,5000,5020.73,3211250
"66","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",432,"Investicijski transferi proraèunskim uporabnikom",4320,"Investicijski transferi obèinam",413845810.8,149738695.3,90061316.95,177544950.1,202626432.3
"67","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",432,"Investicijski transferi proraèunskim uporabnikom",4321,"Investicijski transferi javnim skladom in agencijam",442715.31,702981,537981,1034204,1986171.52
"68","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",432,"Investicijski transferi proraèunskim uporabnikom",4322,"Investicijski transferi v državni proraèun",20000,20000,20000,20000,90235
"69","A","Bilanca prihodkov in odhodkov",43,"INVESTICIJSKI TRANSFERI",432,"Investicijski transferi proraèunskim uporabnikom",4323,"Investicijski transferi javnim zavodom",84044134.1,46269205.13,64897250.12,78428054.82,52085162.22
"70","A","Bilanca prihodkov in odhodkov",45,"PLAÈILA SREDSTEV V PRORAÈUN EVROPSKE UNIJE",450,"Plaèila sredstev v proraèun Evropske unije",4500,"Plaèila tradicionalnih lastnih sredstev v proraèun Evropske unije",69939895,64200000,65121362,65332353.84,80771000
"71","A","Bilanca prihodkov in odhodkov",45,"PLAÈILA SREDSTEV V PRORAÈUN EVROPSKE UNIJE",450,"Plaèila sredstev v proraèun Evropske unije",4501,"Plaèila sredstev v proraèun EU iz naslova davka na dodano vrednost",55215707,56158800,56981191,58631599.6,57342398
"72","A","Bilanca prihodkov in odhodkov",45,"PLAÈILA SREDSTEV V PRORAÈUN EVROPSKE UNIJE",450,"Plaèila sredstev v proraèun Evropske unije",4502,"Plaèila sredstev v proraèun EU iz naslova bruto nacionalnega dohodka",265035391,267700762,269846642,272218141,270020000
"73","A","Bilanca prihodkov in odhodkov",45,"PLAÈILA SREDSTEV V PRORAÈUN EVROPSKE UNIJE",450,"Plaèila sredstev v proraèun Evropske unije",4503,"Plaèila sredstev v proraèun EU iz naslova popravka v korist Združenega Kraljestva",23190597,23737913,22792477,22615045.56,24646573
"74","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",440,"Dana posojila",4403,"Dana posojila finanènim institucijam",4e+07,5e+07,NA,NA,NA
"75","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",440,"Dana posojila",4404,"Dana posojila privatnim podjetjem",8e+06,28800000,27100000,2.7e+07,8180000
"76","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",440,"Dana posojila",4409,"Plaèila zapadlih poroštev",9915060.12,259995000,68530000,3.7e+07,8e+06
"77","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",441,"Poveèanje kapitalskih deležev in finanènih naložb",4410,"Poveèanje kapitalskih deležev v javnih podjetjih in družbam, ki so v lasti države ali obèin",2e+08,383622000,283622000,2e+08,2e+08
"78","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",441,"Poveèanje kapitalskih deležev in finanènih naložb",4414,"Poveèanje kapitalskih deležev v tujino",6679500,685000,2e+05,NA,NA
"79","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",442,"Poraba sredstev kupnin iz naslova privatizacije",4420,"Dana posojila iz sredstev kupnin",1750000,4005681.37,4005681.37,3246105.54,3400000
"80","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",442,"Poraba sredstev kupnin iz naslova privatizacije",4421,"Sredstva kupnin, razporejena v javne sklade in agencije",1034500,6079029.02,1313813,8435922.74,7e+06
"81","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",443,"Poveèanje namenskega premoženja v javnih skladih in drugih pravnih osebah javnega prava, ki imajo premoženje v svoji lasti",4430,"Poveèanje  namenskega premoženja v javnih skladih",2700000,NA,NA,NA,NA
"82","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",409,"Rezerve",4092,"Druge rezerve",NA,1.33e+08,5e+06,6e+06,5e+06
"83","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4116,"Boleznine",NA,24000,24000,15000,15000
"84","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",440,"Dana posojila",4401,"Dana posojila javnim skladom",NA,68882828.21,57761853,112163818.5,8820000
"85","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",440,"Dana posojila",4405,"Dana posojila obèinam",NA,3.3e+07,3.3e+07,2.2e+07,3.3e+07
"86","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",443,"Poveèanje namenskega premoženja v javnih skladih in drugih pravnih osebah javnega prava, ki imajo premoženje v svoji lasti",4430,"Poveèanje namenskega premoženja v javnih skladih",NA,140977.48,140977.48,5340977.48,3240313.58
"87","A","Bilanca prihodkov in odhodkov",45,"PLAÈILA SREDSTEV V PRORAÈUN EVROPSKE UNIJE",450,"Plaèila sredstev v proraèun Evropske unije",4504,"Plaèila sredstev v proraèun EU iz naslova popravkov BND vira",NA,NA,4477094,NA,NA
"88","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",410,"Subvencije",4101,"Subvencije finanènim institucijam",NA,NA,NA,0,NA
"89","A","Bilanca prihodkov in odhodkov",42,"INVESTICIJSKI ODHODKI",420,"Nakup in gradnja osnovnih sredstev",4209,"Nakup blagovnih rezerv in intervencijskih zalog",NA,NA,NA,317,NA
"90","A","Bilanca prihodkov in odhodkov",45,"PLAÈILA SREDSTEV V PRORAÈUN EVROPSKE UNIJE",450,"Plaèila sredstev v proraèun Evropske unije",4504,"Plaèila sredstev v proraèun EU iz naslova popravkov BND vira v korist drugih držav",NA,NA,NA,2931579.98,3057243
"91","B","Raèun finanènih terjatev in naložb",44,"DANA POSOJILA IN POVEÈANJE KAPITALSKIH DELEŽEV",440,"Dana posojila",4406,"Dana posojila v tujino",NA,NA,NA,71500000,71500000
